Type,20,25,30,35,40,45,50,55,60,65,70,75,999
All Cancer,0.2166,0.2177,0.2191,0.2204,0.2218,0.2232,0.2242,0.2241,0.2216,0.2156,0.2052,0.1896,0.21659
Lung and Bronchus,0.0559,0.0562,0.0566,0.0571,0.0576,0.0581,0.0587,0.0588,0.0579,0.0559,0.0518,0.0451,0.05580
Colon and Rectum,0.0187,0.0188,0.0189,0.019,0.019,0.019,0.0189,0.0187,0.0183,0.0176,0.0168,0.0158,0.01829
Pancreas,0.0142,0.0143,0.0144,0.0145,0.0146,0.0147,0.0147,0.0146,0.0143,0.0137,0.0126,0.0111,0.01397
Liver,0.0103,0.0104,0.0096,0.0097,0.0098,0.0099,0.0101,0.0103,0.0105,0.0107,0.0109,0.011,0.01026
Urinary Bladder,0.0095,0.0096,0.0097,0.0097,0.0098,0.0098,0.0099,0.01,0.0101,0.0102,0.0101,0.0096,0.00983
Leukemia,0.0097,0.0097,0.0083,0.0083,0.0084,0.0084,0.0085,0.0085,0.0086,0.0085,0.0084,0.008,0.00860
Non-Hodgkin Lymphoma,0.0082,0.0082,0.0105,0.0105,0.0106,0.0107,0.0107,0.0104,0.0097,0.0084,0.0072,0.0061,0.00926
Esophagus,0.0077,0.0077,0.0078,0.0078,0.0079,0.0079,0.0079,0.0078,0.0075,0.007,0.0062,0.0053,0.00737
Kidney and Renal Pelvis,0.0061,0.0062,0.0062,0.0062,0.0063,0.0063,0.0063,0.0062,0.0061,0.0058,0.0054,0.0049,0.006
Myeloma,0.0048,0.0048,0.0049,0.0049,0.005,0.005,0.005,0.0051,0.0051,0.0051,0.0049,0.0046,0.00493
Brain/Nervous System,0.0053,0.0053,0.0046,0.0046,0.0046,0.0046,0.0046,0.0045,0.0044,0.0043,0.004,0.0037,0.00454
Stomach Cancer,0.0045,0.0046,0.004,0.004,0.004,0.004,0.004,0.0039,0.0039,0.0038,0.0036,0.0034,0.00397
Oral/Pharynx,0.0043,0.0043,0.0053,0.0052,0.0052,0.0051,0.005,0.0048,0.0045,0.0041,0.0036,0.003,0.00453
Melanoma,0.004,0.004,0.0043,0.0043,0.0044,0.0044,0.0043,0.0042,0.004,0.0036,0.0032,0.0028,0.00395
Larynx Cancer,0.0019,0.0019,0.0015,0.0015,0.0015,0.0016,0.0016,0.0016,0.0016,0.0017,0.0017,0.0016,0.00164
Mesothelioma,0.0015,0.0015,0.002,0.002,0.002,0.002,0.002,0.002,0.0019,0.0017,0.0016,0.0013,0.00179
Heart/Soft Tissue,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0014,0.0014,0.0013,0.0013,0.0012,0.00144
Thyroid,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.00058
Small Intestine,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.00055
Gallbladder,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.00049
Bone and Joint,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.00041
Hodgkin Lymphoma,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.00035
Breast,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
Anal,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.00019
Eye and Orbit,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Kaposi Sarcoma,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0,0
