Type,20,25,30,35,40,45,50,55,60,65,70,75,999
All Cancer,0.4049,0.406,0.4071,0.4079,0.4085,0.4084,0.4068,0.4007,0.3877,0.3643,0.3267,0.2783,0.38394
Lung and Bronchus,0.068,0.0684,0.0688,0.0693,0.0698,0.0703,0.0707,0.0705,0.0692,0.066,0.06,0.0505,0.06679
Colon and Rectum,0.0447,0.0449,0.045,0.0451,0.0449,0.0445,0.0435,0.0416,0.0394,0.0366,0.0329,0.0287,0.04098
Pancreas,0.0168,0.0169,0.017,0.0171,0.0172,0.0172,0.0172,0.0169,0.0164,0.0154,0.0139,0.0119,0.01615
Liver,0.0146,0.0146,0.0396,0.0399,0.0401,0.0404,0.0407,0.0408,0.0407,0.0398,0.0377,0.034,0.03524
Urinary Bladder,0.0392,0.0394,0.0177,0.0177,0.0176,0.0174,0.0173,0.017,0.0166,0.0158,0.0146,0.0128,0.02025
Leukemia,0.0179,0.0178,0.0243,0.0242,0.024,0.0237,0.0233,0.0227,0.0219,0.0206,0.0188,0.0163,0.02129
Non-Hodgkin Lymphoma,0.0243,0.0243,0.0147,0.0148,0.0149,0.0149,0.0148,0.0143,0.0129,0.0107,0.0084,0.0066,0.01463
Esophagus,0.0081,0.0081,0.0082,0.0082,0.0083,0.0083,0.0082,0.0081,0.0077,0.007,0.0061,0.0049,0.0076
Kidney and Renal Pelvis,0.0218,0.0219,0.022,0.0219,0.0218,0.0214,0.0207,0.0197,0.0182,0.0162,0.0136,0.0106,0.01915
Myeloma,0.0095,0.0095,0.0096,0.0096,0.0097,0.0097,0.0096,0.0094,0.0091,0.0086,0.0077,0.0065,0.00904
Brain and Other Nervous Systems,0.0064,0.0063,0.0109,0.0109,0.0109,0.0109,0.0108,0.0105,0.0102,0.0096,0.0088,0.0076,0.00948
Stomach Cancer,0.0108,0.0109,0.0282,0.0281,0.0278,0.0275,0.0271,0.0263,0.0252,0.0236,0.0212,0.0183,0.02291
Oral Cavity and Pharynx,0.0168,0.0169,0.0061,0.006,0.0059,0.0057,0.0055,0.0052,0.0048,0.0043,0.0037,0.003,0.00699
Melanoma,0.0281,0.0282,0.0169,0.017,0.0169,0.0168,0.0162,0.0152,0.0137,0.0118,0.0097,0.0076,0.01650
Larynx Cancer,0.0054,0.0054,0.0007,0.0007,0.0006,0.0005,0.0005,0.0004,0.0004,0.0003,0.0003,0.0003,0.00129
Mesothelioma,0.0008,0.0008,0.0054,0.0055,0.0055,0.0055,0.0055,0.0053,0.0049,0.0044,0.0037,0.0029,0.00418
Heart/Soft Tissue,0.0039,0.0039,0.0038,0.0038,0.0037,0.0036,0.0035,0.0033,0.0032,0.003,0.0027,0.0024,0.0034
Thyroid,0.007,0.0069,0.0067,0.0064,0.0061,0.0056,0.0051,0.0045,0.0039,0.0032,0.0025,0.0018,0.00497
Small Intestine,0.0029,0.0029,0.003,0.003,0.0029,0.0029,0.0028,0.0027,0.0026,0.0024,0.0021,0.0017,0.00265
Gallbladder,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.001,0.001,0.0009,0.0008,0.00104
Bone and Joint,0.0007,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.00053
Hodgkin Lymphoma,0.0022,0.002,0.0018,0.0016,0.0015,0.0013,0.0012,0.0011,0.0009,0.0008,0.0007,0.0005,0.0013
Breast,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013,0.0012,0.001,0.0009,0.00129
Anal,0.0016,0.0016,0.0016,0.0016,0.0016,0.0015,0.0014,0.0013,0.0012,0.001,0.0009,0.0007,0.00133
Eye and Orbit,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008,0.0008,0.0007,0.0007,0.0006,0.0005,0.00079
Kaposi Sarcoma,0.0019,0.0019,0.0019,0.0019,0.0019,0.002,0.002,0.002,0.002,0.002,0.002,0.0019,0.00195
