State,Vehicle,Firearm,Poisoning,Falls,Occupational,Choking,FireSmoke,Drowning,HeatCold,BluntForce
AL,21.2,21.5,16.1,4.9,4.3,2.3,1.72,1.6409,0.4102,0.2871
AK,13.7,23.3,20.8,8.8,10.2,1.6,2.7,2.4331,2.9738,0.1759
AZ,14.5,5,20,15.6,3,1.2,1.04,1.7023,1.9719,0.1702
AR,19.3,17.8,12.5,10,6.1,1.8,2.4,1.4652,0.4329,0.4329
CA,10.6,7.9,11.8,6.7,2.2,0.7,0.7,1.0583,0.2665,0.1776
CO,12.1,14.3,16,16.6,2.8,1.4,0.85,1.3354,0.4451,0.1958
CT,8.2,4.6,29.2,11.1,1.9,2.4,0.67,0.5316,0.3902,0.1759
DE,13.2,11,34.6,8.7,2.4,1.46,1.12,1.1407,0.3902,0.1759
DC,4.8,11.8,41.9,8.2,3.4,1.73,1.87,1.1407,0.3902,0.1759
FL,15.4,12.6,22.9,15.2,3.3,1.6,0.79,2.2930,0.1477,0.1239
GA,14.9,15,14.1,6.9,4.1,1.7,1.44,1.1043,0.3169,0.2688
HI,7.4,4.5,11.6,11.4,2.2,2.2,0.98,5.4767,0.3902,0.1759
ID,15.8,14.6,11.6,13.7,4.8,1.9,0.81,1.7452,0.9308,0.5817
IL,9.6,11.7,20.5,8.7,2.8,1.7,1.14,0.7742,0.3832,0.2189
IN,13.8,15,26.4,8,4.5,2,1.19,1.1110,0.4054,0.2252
IA,12.6,9.2,9.8,16.5,4.7,1.7,1.94,0.7316,0.3902,0.1759
KS,15.8,13.4,10.2,16.4,5.2,2.7,1.24,0.8589,0.3902,0.1759
KY,18.7,17.5,33.9,8.1,3.8,1.7,1.41,1.0328,0.2469,0.4714
LA,17.6,21.3,21.9,7,6.3,2.2,1.97,2.2051,0.2997,0.2997
ME,14.2,8.3,29.6,18.3,2.7,1.9,1.12,1.1407,0.7490,0.1759
MD,9.5,11.9,11.1,12.4,3,1.7,1.05,0.6971,0.3153,0.1825
MA,6.1,3.4,30.7,12.1,3.2,2.2,0.71,0.4953,0.1602,0.1759
MI,10.6,12.3,23.1,11.6,3.4,1.7,1,0.9722,0.3808,0.2505
MN,8.1,7.6,12.9,21.1,3.5,1.4,1.4,0.7004,0.5387,0.2334
MS,25.8,19.9,10.8,9.7,6.2,2.5,1.94,1.1372,0.3344,0.4013
MO,16.3,19,20.8,12.7,4.4,1.5,1.74,1.3914,0.4583,0.3601
MT,17,18.9,10.6,16.8,6.9,1.9,1.04,1.7092,1.0445,0.1759
NE,13.5,9.1,7.7,11.4,3.6,1.7,0.83,0.6779,0.3902,0.1759
NV,11.8,16.8,19.5,9.7,2.4,1.2,0.77,1.5475,2.8932,0.1759
NH,8,9.3,32.5,20,1.6,1.6,0.81,1.1407,0.3902,0.1759
NJ,7.2,5.5,28.9,5.9,1.6,1.8,0.46,0.6750,0.2587,0.1125
NM,19.1,18.1,23.3,17.4,4.7,0.91,1.67,1.7674,1.1464,0.1759
NY,5.8,4.4,18.6,8.3,3.5,1.3,1,0.5206,0.1735,0.1888
NC,14.8,13.7,21.9,12.4,3.9,1.8,1.4,1.0320,0.2531,0.3894
ND,15.6,11.9,8.6,8.9,10.1,3.3,1.32,1.5890,0.3902,0.1759
OH,11.3,12.9,42.8,13.8,3.3,1.7,1.41,0.8916,0.3172,0.2143
OK,18.4,19.6,19,17,5.5,1.2,1.58,1.7291,0.3814,0.1759
OR,12.3,11.9,11,18.4,3.2,1.6,1.13,1.1816,0.3858,0.4823
PA,9.9,12,40.6,13.9,3,2.8,1.39,0.6489,0.2736,0.2736
RI,9.9,4.1,30,19.6,1.6,2.8,1.12,1.1407,0.3902,0.1759
SC,21.1,17.7,19.5,9.4,4.2,2.5,1.73,1.4339,0.5377,0.3783
SD,19,13.4,8,22.5,7.3,1.38,2.06,1.1407,1.6031,0.1759
TN,16.2,17.1,25.2,11,4.4,2.4,1.94,1.1924,0.4918,0.4471
TX,13.8,12.1,9.9,7.2,4.3,1.3,0.82,1.2957,0.2189,0.2083
USA,12.4,11.8,19.9,11.2,3.5,1.6,1.12,1.1407,0.3902,0.1759
UT,9.4,12.9,16.4,7.2,2.9,1.1,0.84,0.8056,0.4833,0.3867
VT,13,11.1,19.1,22.1,7,1.6,1.76,1.1407,0.3902,0.1759
VA,10.6,12.1,16.8,10.5,2.9,2,0.87,0.8505,0.2598,0.2480
WA,9,9,14.5,14.7,2.5,1.6,1.16,0.9965,0.5925,0.3770
WV,18.6,17.5,52.9,19.7,7.4,2.2,2.92,1.4859,0.6604,0.8805
WI,11.3,11.4,19,26.8,3.5,1,1.12,0.9668,0.3280,0.5524
WY,19,17.4,12.3,14.7,7.7,2.07,1.12,1.7273,0.3902,0.1759
